CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
475000,10th Ave,100,Moraga St,Noriega St,10/13/17,Treatment,Yes,Residential
9547000,Newburg St,100,27th St \ Castro St,Duncan St,10/13/17,Treatment,Yes,Residential
8098000,Langton St,100,Howard St,Folsom St,10/13/17,Treatment,Yes,Residential
8880000,Maynard St,100,Castle Manor Ave \ Mission St,Craut St,10/13/17,Treatment,Yes,Residential
8099000,Langton St,100,Folsom St,Decker Aly,10/13/17,Treatment,Yes,Residential
12234000,Stoneybrook Ave,100,Alemany Blvd,Cambridge St \ Trumbull St,10/13/17,Treatment,Yes,Residential
4774201,Diamond Heights Blvd,100,Clipper St,Duncan St,10/13/17,Treatment,Yes,Arterial
11594000,Santa Rosa Ave,100,San Jose Ave,End,10/13/17,Treatment,Yes,Residential
4775201,Diamond Heights Blvd,100,Duncan St,Carnelian Way,10/13/17,Treatment,Yes,Arterial
22336000,Clipper St: Diamond Heights Blvd Intersection,100,DIAMOND HEIGHTS BLVD,Intersection,10/13/17,Treatment,No,
21493000,Hanover St: Lowell St Intersection,100,LOWELL ST,Intersection,10/13/17,Treatment,No,
22335000,Diamond Heights Blvd: Duncan St Intersection,100,DUNCAN ST,Intersection,10/13/17,Treatment,No,
22318000,Carnelian Way: Diamond Heights Blvd Intersection,100,DIAMOND HEIGHTS BLVD,Intersection,10/13/17,Treatment,No,
1861000,38th Ave,100,Ulloa St,Vicente St,10/13/17,Treatment,Yes,Residential
4776101,Diamond Heights Blvd,100,Carnelian Way,Safira Ln,10/13/17,Treatment,Yes,Arterial
9646000,Noriega St,100,10th Ave,11th Ave,10/13/17,Treatment,Yes,Residential
10032000,Ortega St,100,43rd Ave,44th Ave,10/13/17,Treatment,Yes,Residential
3128000,Bright St,100,Randolph St,Sargent St,10/13/17,Treatment,Yes,Residential
11786000,Shafter Ave,100,Keith St,Lane St,10/13/17,Treatment,Yes,Residential
10946000,Raymond Ave,100,Elliot St,Sawyer St,10/13/17,Treatment,Yes,Residential
11593000,Santa Rosa Ave,100,San Gabriel Ave,San Jose Ave,10/13/17,Treatment,Yes,Residential
1841000,37th Ave,100,Wawona St,Yorba St,10/13/17,Treatment,Yes,Residential
11592000,Santa Rosa Ave,100,Capistrano Ave,San Gabriel Ave,10/13/17,Treatment,Yes,Residential
11589000,Santa Rosa Ave,100,Mission St,Alemany Blvd,10/13/17,Treatment,Yes,Residential
9627000,Noe St,100,Elizabeth St,24th St,10/13/17,Treatment,Yes,Residential
12156000,Steiner St,91,Lombard St,Chestnut St,10/12/17,Survey,Yes,Residential
8448000,Lombard St,62,Leavenworth St,Montclair Ter,10/12/17,Survey,Yes,Residential
3340000,Buchanan St,91,California St,Sacramento St,10/12/17,Survey,Yes,Residential
4369000,Cora St,77,Leland Ave,Visitacion Ave,10/12/17,Survey,Yes,Residential
8449000,Lombard St,78,Montclair Ter,Hyde St,10/12/17,Survey,Yes,Residential
