Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3843,100611 (3843),3191,407284 (3191),"10/1/2017 - 12/31/2017, Every day, Daily Average",1664,1221,2266
3843,100611 (3843),3192,407182 (3192),"10/1/2017 - 12/31/2017, Every day, Daily Average",1510,1119,2037
3843,100611 (3843),3193,407183 (3193),"10/1/2017 - 12/31/2017, Every day, Daily Average",1688,1215,2343
3843,100611 (3843),3194,407184 (3194),"10/1/2017 - 12/31/2017, Every day, Daily Average",1955,1359,2810
3843,100611 (3843),3195,407271 (3195),"10/1/2017 - 12/31/2017, Every day, Daily Average",1631,1219,2181
3843,100611 (3843),3196,407161 (3196),"10/1/2017 - 12/31/2017, Every day, Daily Average",1353,1042,1755
3843,100611 (3843),3197,910971 (3197),"10/1/2017 - 12/31/2017, Every day, Daily Average",1063,825,1369
3843,100611 (3843),3198,407245 (3198),"10/1/2017 - 12/31/2017, Every day, Daily Average",1263,914,1744
3843,100611 (3843),3199,407272 (3199),"10/1/2017 - 12/31/2017, Every day, Daily Average",1625,1183,2230
3843,100611 (3843),3204,407262 (3204),"10/1/2017 - 12/31/2017, Every day, Daily Average",1520,1115,2071
3843,100611 (3843),3205,407260 (3205),"10/1/2017 - 12/31/2017, Every day, Daily Average",1458,1057,2010
3843,100611 (3843),3206,407261 (3206),"10/1/2017 - 12/31/2017, Every day, Daily Average",1350,988,1843
3843,100611 (3843),3208,407205 (3208),"10/1/2017 - 12/31/2017, Every day, Daily Average",1600,1182,2165
3843,100611 (3843),3209,407204 (3209),"10/1/2017 - 12/31/2017, Every day, Daily Average",1663,1229,2248
3843,100611 (3843),3210,407206 (3210),"10/1/2017 - 12/31/2017, Every day, Daily Average",1680,1231,2291
3843,100611 (3843),3211,407155 (3211),"10/1/2017 - 12/31/2017, Every day, Daily Average",1334,970,1832
3843,100611 (3843),3212,508551 (3212),"10/1/2017 - 12/31/2017, Every day, Daily Average",2396,1797,3193
3843,100611 (3843),3213,407202 (3213),"10/1/2017 - 12/31/2017, Every day, Daily Average",1719,1289,2291
3843,100611 (3843),3214,407195 (3214),"10/1/2017 - 12/31/2017, Every day, Daily Average",1406,1003,1968
3843,100611 (3843),3215,407273 (3215),"10/1/2017 - 12/31/2017, Every day, Daily Average",1736,1288,2338
3843,100611 (3843),3216,407196 (3216),"10/1/2017 - 12/31/2017, Every day, Daily Average",1490,1076,2062
3843,100611 (3843),3217,508525 (3217),"10/1/2017 - 12/31/2017, Every day, Daily Average",2294,1750,3006
3843,100611 (3843),3218,407223 (3218),"10/1/2017 - 12/31/2017, Every day, Daily Average",1522,1125,2057
3843,100611 (3843),3219,407233 (3219),"10/1/2017 - 12/31/2017, Every day, Daily Average",1432,1042,1967
3843,100611 (3843),3220,407154 (3220),"10/1/2017 - 12/31/2017, Every day, Daily Average",1381,995,1916
3843,100611 (3843),3221,407152 (3221),"10/1/2017 - 12/31/2017, Every day, Daily Average",1345,985,1836
3843,100611 (3843),3222,407191 (3222),"10/1/2017 - 12/31/2017, Every day, Daily Average",1406,1017,1942
3843,100611 (3843),3223,407234 (3223),"10/1/2017 - 12/31/2017, Every day, Daily Average",1201,852,1691
3843,100611 (3843),3225,407193 (3225),"10/1/2017 - 12/31/2017, Every day, Daily Average",1303,949,1787
3843,100611 (3843),3226,407231 (3226),"10/1/2017 - 12/31/2017, Every day, Daily Average",1161,826,1631
3843,100611 (3843),3227,407201 (3227),"10/1/2017 - 12/31/2017, Every day, Daily Average",1497,1095,2046
3843,100611 (3843),3229,407221 (3229),"10/1/2017 - 12/31/2017, Every day, Daily Average",1471,1060,2039
3843,100611 (3843),3230,407211 (3230),"10/1/2017 - 12/31/2017, Every day, Daily Average",1747,1256,2428
3843,100611 (3843),3231,407212 (3231),"10/1/2017 - 12/31/2017, Every day, Daily Average",1681,1227,2302
3843,100611 (3843),3232,508552 (3232),"10/1/2017 - 12/31/2017, Every day, Daily Average",2407,1833,3159
3843,100611 (3843),3233,508582 (3233),"10/1/2017 - 12/31/2017, Every day, Daily Average",2354,1779,3113
3843,100611 (3843),3234,407203 (3234),"10/1/2017 - 12/31/2017, Every day, Daily Average",1433,993,2067
3843,100611 (3843),3236,407194 (3236),"10/1/2017 - 12/31/2017, Every day, Daily Average",1301,939,1802
3843,100611 (3843),3237,407153 (3237),"10/1/2017 - 12/31/2017, Every day, Daily Average",1341,1038,1731
3843,100611 (3843),3240,407222 (3240),"10/1/2017 - 12/31/2017, Every day, Daily Average",1599,1157,2209
3843,100611 (3843),3241,406830 (3241),"10/1/2017 - 12/31/2017, Every day, Daily Average",1757,1310,2356
3843,100611 (3843),3243,407192 (3243),"10/1/2017 - 12/31/2017, Every day, Daily Average",1289,923,1798
3843,100611 (3843),3246,407151 (3246),"10/1/2017 - 12/31/2017, Every day, Daily Average",1628,1170,2265
3843,100611 (3843),3247,407224 (3247),"10/1/2017 - 12/31/2017, Every day, Daily Average",1537,1090,2167
3843,100611 (3843),3248,407210 (3248),"10/1/2017 - 12/31/2017, Every day, Daily Average",1567,1124,2183
3843,100611 (3843),3252,407156 (3252),"10/1/2017 - 12/31/2017, Every day, Daily Average",1686,1218,2332
3843,100611 (3843),3253,407232 (3253),"10/1/2017 - 12/31/2017, Every day, Daily Average",1172,823,1668
3843,100611 (3843),3254,407111 (3254),"10/1/2017 - 12/31/2017, Every day, Daily Average",1534,1098,2142
3843,100611 (3843),3255,407120 (3255),"10/1/2017 - 12/31/2017, Every day, Daily Average",1276,909,1790
3843,100611 (3843),3257,407235 (3257),"10/1/2017 - 12/31/2017, Every day, Daily Average",1478,1027,2125
3843,100611 (3843),3258,407130 (3258),"10/1/2017 - 12/31/2017, Every day, Daily Average",1539,1164,2034
3843,100611 (3843),3261,508584 (3261),"10/1/2017 - 12/31/2017, Every day, Daily Average",2318,1787,3006
3843,100611 (3843),3262,407143 (3262),"10/1/2017 - 12/31/2017, Every day, Daily Average",1649,1204,2258
3843,100611 (3843),3263,407236 (3263),"10/1/2017 - 12/31/2017, Every day, Daily Average",1414,973,2053
3843,100611 (3843),3264,407061 (3264),"10/1/2017 - 12/31/2017, Every day, Daily Average",1056,721,1546
3843,100611 (3843),3267,407110 (3267),"10/1/2017 - 12/31/2017, Every day, Daily Average",1563,1079,2263
3843,100611 (3843),3268,406852 (3268),"10/1/2017 - 12/31/2017, Every day, Daily Average",1831,1259,2661
3843,100611 (3843),3269,406831 (3269),"10/1/2017 - 12/31/2017, Every day, Daily Average",1715,1252,2347
3843,100611 (3843),3270,406840 (3270),"10/1/2017 - 12/31/2017, Every day, Daily Average",1690,1231,2318
3843,100611 (3843),3271,508571 (3271),"10/1/2017 - 12/31/2017, Every day, Daily Average",2468,1876,3246
3843,100611 (3843),3272,407112 (3272),"10/1/2017 - 12/31/2017, Every day, Daily Average",1554,1106,2182
3843,100611 (3843),3273,100311 (3273),"10/1/2017 - 12/31/2017, Every day, Daily Average",867,553,1357
3843,100611 (3843),3274,407142 (3274),"10/1/2017 - 12/31/2017, Every day, Daily Average",1662,1201,2298
3843,100611 (3843),3275,407121 (3275),"10/1/2017 - 12/31/2017, Every day, Daily Average",1250,885,1765
3843,100611 (3843),3276,407131 (3276),"10/1/2017 - 12/31/2017, Every day, Daily Average",1477,1064,2050
3843,100611 (3843),3277,407065 (3277),"10/1/2017 - 12/31/2017, Every day, Daily Average",1129,791,1611
3843,100611 (3843),3278,406820 (3278),"10/1/2017 - 12/31/2017, Every day, Daily Average",1905,1347,2693
3843,100611 (3843),3281,407102 (3281),"10/1/2017 - 12/31/2017, Every day, Daily Average",1166,819,1658
3843,100611 (3843),3282,407144 (3282),"10/1/2017 - 12/31/2017, Every day, Daily Average",1483,1083,2029
3843,100611 (3843),3283,406911 (3283),"10/1/2017 - 12/31/2017, Every day, Daily Average",1558,1127,2153
3843,100611 (3843),3288,407062 (3288),"10/1/2017 - 12/31/2017, Every day, Daily Average",1146,798,1645
3843,100611 (3843),3289,406912 (3289),"10/1/2017 - 12/31/2017, Every day, Daily Average",1684,1190,2381
3843,100611 (3843),3291,407108 (3291),"10/1/2017 - 12/31/2017, Every day, Daily Average",1175,831,1660
3843,100611 (3843),3292,407066 (3292),"10/1/2017 - 12/31/2017, Every day, Daily Average",1150,792,1669
3843,100611 (3843),3302,407104 (3302),"10/1/2017 - 12/31/2017, Every day, Daily Average",1196,851,1680
3843,100611 (3843),3303,407141 (3303),"10/1/2017 - 12/31/2017, Every day, Daily Average",1549,1135,2113
3843,100611 (3843),3305,406940 (3305),"10/1/2017 - 12/31/2017, Every day, Daily Average",1300,923,1830
3843,100611 (3843),3306,406950 (3306),"10/1/2017 - 12/31/2017, Every day, Daily Average",1270,902,1787
3843,100611 (3843),3307,407107 (3307),"10/1/2017 - 12/31/2017, Every day, Daily Average",1417,994,2019
3843,100611 (3843),3308,508575 (3308),"10/1/2017 - 12/31/2017, Every day, Daily Average",2587,1928,3470
3843,100611 (3843),3312,406920 (3312),"10/1/2017 - 12/31/2017, Every day, Daily Average",1331,943,1878
3843,100611 (3843),3313,406811 (3313),"10/1/2017 - 12/31/2017, Every day, Daily Average",1741,1304,2324
3843,100611 (3843),3315,407103 (3315),"10/1/2017 - 12/31/2017, Every day, Daily Average",1479,1093,2000
3843,100611 (3843),3316,508587 (3316),"10/1/2017 - 12/31/2017, Every day, Daily Average",2483,1917,3215
3843,100611 (3843),3317,508576 (3317),"10/1/2017 - 12/31/2017, Every day, Daily Average",2602,1937,3494
3843,100611 (3843),3318,407101 (3318),"10/1/2017 - 12/31/2017, Every day, Daily Average",1316,954,1815
3843,100611 (3843),3319,407106 (3319),"10/1/2017 - 12/31/2017, Every day, Daily Average",1441,1084,1914
3843,100611 (3843),3322,406951 (3322),"10/1/2017 - 12/31/2017, Every day, Daily Average",1336,953,1872
3843,100611 (3843),3324,407063 (3324),"10/1/2017 - 12/31/2017, Every day, Daily Average",1328,917,1921
3843,100611 (3843),3325,406931 (3325),"10/1/2017 - 12/31/2017, Every day, Daily Average",1340,955,1878
3843,100611 (3843),3327,406900 (3327),"10/1/2017 - 12/31/2017, Every day, Daily Average",1405,993,1986
3843,100611 (3843),3329,407105 (3329),"10/1/2017 - 12/31/2017, Every day, Daily Average",1510,1111,2051
3843,100611 (3843),3331,406952 (3331),"10/1/2017 - 12/31/2017, Every day, Daily Average",1431,1041,1966
3843,100611 (3843),3333,407109 (3333),"10/1/2017 - 12/31/2017, Every day, Daily Average",1396,1018,1913
3843,100611 (3843),3336,406941 (3336),"10/1/2017 - 12/31/2017, Every day, Daily Average",1462,1061,2013
3843,100611 (3843),3337,407073 (3337),"10/1/2017 - 12/31/2017, Every day, Daily Average",1403,979,2010
3843,100611 (3843),3338,407082 (3338),"10/1/2017 - 12/31/2017, Every day, Daily Average",1389,973,1982
3843,100611 (3843),3343,407083 (3343),"10/1/2017 - 12/31/2017, Every day, Daily Average",1446,1034,2021
3843,100611 (3843),3344,406942 (3344),"10/1/2017 - 12/31/2017, Every day, Daily Average",1549,1133,2117
3843,100611 (3843),3346,406862 (3346),"10/1/2017 - 12/31/2017, Every day, Daily Average",1462,1143,1868
3843,100611 (3843),3347,407064 (3347),"10/1/2017 - 12/31/2017, Every day, Daily Average",1123,774,1627
3843,100611 (3843),3348,407090 (3348),"10/1/2017 - 12/31/2017, Every day, Daily Average",1377,981,1931
3843,100611 (3843),3349,406932 (3349),"10/1/2017 - 12/31/2017, Every day, Daily Average",1531,1137,2060
3843,100611 (3843),3350,406864 (3350),"10/1/2017 - 12/31/2017, Every day, Daily Average",1462,1147,1862
3843,100611 (3843),3351,407074 (3351),"10/1/2017 - 12/31/2017, Every day, Daily Average",1353,1024,1786
3843,100611 (3843),3353,406800 (3353),"10/1/2017 - 12/31/2017, Every day, Daily Average",1475,1061,2050
3843,100611 (3843),3354,406961 (3354),"10/1/2017 - 12/31/2017, Every day, Daily Average",1548,1133,2114
3843,100611 (3843),3359,406933 (3359),"10/1/2017 - 12/31/2017, Every day, Daily Average",1352,965,1892
3843,100611 (3843),3367,406964 (3367),"10/1/2017 - 12/31/2017, Every day, Daily Average",1665,1274,2175
3843,100611 (3843),3368,508601 (3368),"10/1/2017 - 12/31/2017, Every day, Daily Average",2639,1983,3510
