CNN,Street_name,ST_TYPE,NHOOD,CNNTEXT,shape
3435000,BUSH,ST,Downtown - Tenderloin,3435000,"LINESTRING (-122.40786893801645 37.79027535399308, -122.40797042612623 37.790262534508074)"
3434000,BUSH,ST,Downtown - Tenderloin,3434000,"LINESTRING (-122.40750049479577 37.79032189115415, -122.40786893801645 37.79027535399308)"
3433000,BUSH,ST,Downtown - Tenderloin,3433000,"LINESTRING (-122.4071317161759 37.790368470286424, -122.40750049479577 37.79032189115415)"
3432000,BUSH,ST,Financial District North,3432000,"LINESTRING (-122.40633094613447 37.79046960756347, -122.4071317161759 37.790368470286424)"
3430000,BUSH,ST,Financial District North,3430000,"LINESTRING (-122.40476728978949 37.79066708184591, -122.4055737455642 37.79056523748131)"
3429000,BUSH,ST,Financial District North,3429000,"LINESTRING (-122.40439988611323 37.7907134781666, -122.40476728978949 37.79066708184591)"
3428000,BUSH,ST,Financial District North,3428000,"LINESTRING (-122.40433292293093 37.79072193472475, -122.40439988611323 37.7907134781666)"
3427000,BUSH,ST,Financial District North,3427000,"LINESTRING (-122.4040307243885 37.79076009609215, -122.40433292293093 37.79072193472475)"
3426000,BUSH,ST,Financial District North,3426000,"LINESTRING (-122.40367177167613 37.79080542220254, -122.4040307243885 37.79076009609215)"
3424000,BUSH,ST,Financial District North,3424000,"LINESTRING (-122.40238040201699 37.79096861091383, -122.40272411592781 37.79092508273427)"
3459000,BUSH,ST,Lower Pacfic Heights,3459000,"LINESTRING (-122.44337028130276 37.785758577063696, -122.4450198574672 37.78554866889428)"
3458000,BUSH,ST,Lower Pacfic Heights,3458000,"LINESTRING (-122.44172631982897 37.78596774626566, -122.44337028130276 37.785758577063696)"
3457000,BUSH,ST,Lower Pacfic Heights,3457000,"LINESTRING (-122.44006119930458 37.78617958369731, -122.44172631982897 37.78596774626566)"
3455000,BUSH,ST,Lower Pacfic Heights,3455000,"LINESTRING (-122.4367465521987 37.78660103911535, -122.43839388390266 37.78639167576871)"
3453000,BUSH,ST,Lower Pacfic Heights,3453000,"LINESTRING (-122.43345991643248 37.787020667245756, -122.43510576834777 37.78681054242245)"
3452000,BUSH,ST,Lower Pacfic Heights,3452000,"LINESTRING (-122.43238604610045 37.78715775601247, -122.43345991643248 37.787020667245756)"
3460000,BUSH,ST,Lower Pacfic Heights,3460000,"LINESTRING (-122.4450198574672 37.78554866889428, -122.44642170935671 37.78537026472601)"
3425000,BUSH,ST,Financial District North,3425000,"LINESTRING (-122.40272411592781 37.79092508273427, -122.40367177167613 37.79080542220254)"
3431000,BUSH,ST,Financial District North,3431000,"LINESTRING (-122.4055737455642 37.79056523748131, -122.40633094613447 37.79046960756347)"
