,ID,ModifiedTMC,TOD,YEAR,CHAMP_LINK_COUNT,PHF,ALPHA,BETA,FT2,LANES,DISTANCE,CAPACITY,FFS,INRIX_SPEED,SPEED_20TH,FF_TIME,INRIX_TIME,INRIX_VOL,CHAMP_PCE,CHAMP_VOL,TNC_VOL,TNC_PUDO
6572,105-08301_PM,105-08301,PM,2016,3,0.337,0.6,3.5,2,4,0.16,10089.02077,16.57,4.092121547,3,0.57936029,2.345971372,16053.69506,4480.183838,3874.4417,370.3416575,27.938125
6573,105-08303_PM,105-08303,PM,2016,7,0.337,0.6,3.5,2,4,0.32,10089.02077,17.01,4.949091904,3.53,1.128747795,3.879499588,15057.89371,4154.57659,3650.723602,399.9907247,22.20875
6574,105-08311_PM,105-08311,PM,2016,6,0.337,0.6,8.5,4,1,0.38,2022.489458,17.4,13.02977316,11.676,1.310344828,1.749838599,1888.732647,548.0360595,476.8853597,63.47073421,3.237105263
6575,105-08312_PM,105-08312,PM,2016,4,0.337,0.6,3.5,2,3,0.37,8456.973294,31.22,15.45884492,11.38,0.711082639,1.436071072,9840.189443,5619.523161,5293.798083,237.7531051,22.62378378
6576,105-08313_PM,105-08313,PM,2016,3,0.337,0.6,8.5,4,1,0.15,890.2077151,16.63,9.740606061,8,0.541190619,0.923967148,907.6042178,524.681382,496.596664,59.82361467,3.154666667
6577,105-08314_PM,105-08314,PM,2016,8,0.337,0.6,8.5,4,1,0.39,1301.072814,15.47,9.833089431,9,1.512605042,2.379720043,1294.112939,82.40839077,72.47023769,24.5782059,2.26025641
6578,105-08340_PM,105-08340,PM,2016,1,0.337,0.6,8.5,4,1,0.09,890.2077151,14.88,7.295806452,6,0.362903226,0.740151214,949.6682636,25.26203,21.37484,22.91558,4.38
6579,105-08351_PM,105-08351,PM,2016,1,0.337,0.6,3.5,2,3,0.06,8456.973294,40.12,33.99702247,31.79,0.089730808,0.105891626,5996.422903,826.44678,789.82643,22.56552,0.31
6580,105-08352_PM,105-08352,PM,2016,2,0.337,0.6,3.5,2,2,0.1754,5637.982196,23.41,13.34831187,9,0.449551474,0.788414303,6017.776569,1581.03931,1520.90323,62.89996011,2.515347777
6581,105-08366_PM,105-08366,PM,2016,3,0.337,0.6,3.5,2,4,0.27,10682.49258,28.58,20.40668108,17.958,0.566829951,0.793857656,9517.492599,8135.101563,7701.599137,398.4327933,11.29333333
6582,105-08367_PM,105-08367,PM,2016,4,0.337,0.6,3.5,2,4,0.36,11275.96439,33.32,23.2520973,20,0.648259304,0.928948461,10272.47998,5885.877685,5534.408288,320.89438,5.195
6583,105-08369_PM,105-08369,PM,2016,15,0.337,0.6,3.5,2,2.266666667,0.9,6389.713155,25.79,15.87754741,12,2.09383482,3.401029051,6462.624473,2400.694539,2215.511368,87.87287933,2.189333333
6584,105-08371_PM,105-08371,PM,2016,2,0.337,0.6,3.5,2,3,0.1807,8011.869436,18.66,10.73229258,8.78,0.581028939,1.01022218,8502.271443,5629.262651,5144.088148,591.3558698,6.851936912
6585,105-08372_PM,105-08372,PM,2016,15,0.337,0.6,3.5,3,2,0.82,3958.891221,16.38,8.434017758,7,3.003663004,5.833518664,4503.629577,1913.796295,1719.300561,260.0627224,12.85231707
6586,105-08380_PM,105-08380,PM,2016,1,0.337,0.6,3.5,2,2,0.17,5341.246291,32.09,10.84323465,6.1,0.31785603,0.940678712,7490.224048,3882.45679,3356.00548,359.77349,19.01
6588,105-08382_PM,105-08382,PM,2016,3,0.337,0.6,8.5,4,2,0.3139,4808.65308,20.45,8.942554992,7,0.920977995,2.106109498,5260.265756,1294.84144,1176.612921,136.9003559,6.36369863
6589,105-10291_PM,105-10291,PM,2016,5,0.337,0.6,3.5,2,1.579577786,0.56938,4452.815718,32.87,20.31363636,16.06,1.039330697,1.681766838,4490.839851,2541.001056,2397.243619,10.73589305,0.512311637
6590,105-10292_PM,105-10292,PM,2016,3,0.337,0.6,3.5,2,2.8,0.2,7893.175074,32.36,17.05454333,15.19,0.370828183,0.703624821,8855.443003,1240.557319,1190.613556,7.301693,0.177
6591,105-10293_PM,105-10293,PM,2016,1,0.337,0.6,3.5,2,2,0.1004,5637.982196,29.03,16.28340541,11,0.207509473,0.369947185,6083.073155,1304.73499,1208.70142,21.28714,1.24
6592,105-10294_PM,105-10294,PM,2016,10,0.337,0.6,3.5,2,2,0.85,5637.982196,31.75,21.40418018,18,1.606299213,2.382712142,5300.287557,2759.114657,2625.539696,24.70619612,0.921529412
6593,105-10295_PM,105-10295,PM,2016,4,0.337,0.6,3.5,2,2,0.49,5637.982196,30.24,17.60272727,14,0.972222222,1.670195734,5934.541495,3093.310554,2974.393912,51.32608245,1.604693878
6594,105-10296_PM,105-10296,PM,2016,6,0.337,0.6,3.5,2,2,0.49,5637.982196,25.72,18.62218644,15,1.143079316,1.578761983,4952.467165,3303.434487,3168.853076,72.31916898,1.614897959
6595,105-10297_PM,105-10297,PM,2016,1,0.337,0.6,3.5,2,2,0.14,5637.982196,26.34,15.00895582,10.81,0.318906606,0.559665849,6020.449266,1951.18994,1834.22836,43.79297,2.07
6596,105-10298_PM,105-10298,PM,2016,1,0.337,0.6,3.5,2,2,0.1,5637.982196,34.09,21.36895161,11.48,0.176004693,0.280781206,5625.342481,1540.01379,1458.38971,35.54596,0.74
6597,105-10299_PM,105-10299,PM,2016,1,0.337,0.6,3.5,2,3,0.2,8456.973294,38.58,26.04169753,22.868,0.311041991,0.460799454,7941.560959,2787.7915,2653.68077,76.73311,1.61
6598,105-10300_PM,105-10300,PM,2016,2,0.337,0.6,3.5,2,3,0.41,8456.973294,46.98,28.336604,21.98,0.523627075,0.868135081,8682.623143,3016.371619,2841.582366,115.9301944,2.810487805
